Name;Type;Units  or  mass;Status;Launched;NORAD  ID;Deployer;Launcher;Organisation;Institution;Entity;Nation;Launch  brokerer;Oneliner;Images
RACE  (CHARM,  Radiometer  Atmospheric  CubeSat  Experiment,  CubeSat  Hydrometric  Atmospheric  Radiometer  Mission);CubeSat;3U;Launch  failure;2014-10-28;Launch  failure;NRCSD  (NanoRacks  CubeSat  Deployer)  [Quad-M];Antares;The  University  of  Texas  at  Austin;University;Academic  /  Education;US;NanoRacks;Spaceborne  validation  of  a  183  GHz  radiometer.;['https://dl.airtable.com/.attachments/156e07f9fbb68ffb054594c2447a7088/1954520b/RACE_7.jpg',  'https://dl.airtable.com/.attachments/bd79bff38937e17ff82d0aa8b821381c/84dc3d1e/RACE_24.jpg',  'https://dl.airtable.com/.attachments/d2f07e79a3ac5481e9af2561ef5bafb0/51f89049/RACE_25.jpg',  'https://dl.airtable.com/.attachments/24eb7195adb76afd41a09afce83d0057/40d589a5/RACE_26.jpg',  'https://dl.airtable.com/.attachments/13e0dcb193ceb11e5c75f8898032a131/b894e365/RACE_28.jpg',  'https://dl.airtable.com/.attachments/a3e2cfc4cc9d7e9db7e3d0415443f2ce/95e5ac23/RACE_4.jpg',  'https://dl.airtable.com/.attachments/28047463c8291f772dece9e396a070b5/7eec3f41/RACE_6.jpg',  'https://dl.airtable.com/.attachments/e0f39691e912801c6f75ed68762cc8d7/b0c3b42b/RACE_5.jpg',  'https://dl.airtable.com/.attachments/1ed103dea5bfd00b890dcd151539a750/626496f2/RACE_27.jpg',  'https://dl.airtable.com/.attachments/5b2c0578970bb73ccba54b69a6459f61/fb0b00b0/RACE_23.jpg',  'https://dl.airtable.com/.attachments/ab1460420a3319b38305417f299e32d5/de21663c/RACE_22.jpg',  'https://dl.airtable.com/.attachments/1d64d68b11578ff81cde12c6fcecf558/ff4cc0cd/RACE_17.jpg',  'https://dl.airtable.com/.attachments/7cab5116e65a6f875751d397bd434240/94fade6f/RACE_21.jpg',  'https://dl.airtable.com/.attachments/e281a2fbc2db8124e3cfe1ca1a3d09f0/b4a33567/RACE_18.jpg',  'https://dl.airtable.com/.attachments/6f96e2122a697b52b651df780e78ddfd/2846a3bc/RACE_13.jpg',  'https://dl.airtable.com/.attachments/0703ff461be30d8ee7044c9800f80691/24ba1bb2/RACE_15.jpg',  'https://dl.airtable.com/.attachments/160484b94534f0b3c166aa50f79ef5a6/d582da70/RACE_16.jpg',  'https://dl.airtable.com/.attachments/e06e4552fd690045349c604de811504d/2b87dca6/RACE_20.jpg',  'https://dl.airtable.com/.attachments/d051d71be38697e1e85c2c77e295e4a1/869d1f25/RACE_14.jpg',  'https://dl.airtable.com/.attachments/e4e046b6fc0766f4dfc2bd3e6087fd08/713a785e/RACE_12.jpg',  'https://dl.airtable.com/.attachments/c728d503d82a74bb9b98ba823448505b/ecdd4559/RACE_19.jpg',  'https://dl.airtable.com/.attachments/88d3c881500591d4073fae22c583902c/3be43f58/RACE_1.jpg',  'https://dl.airtable.com/.attachments/2173971ee0d9d8c203c7c2d2e30ca71b/b4da1041/RACE_3.jpg',  'https://dl.airtable.com/.attachments/3af4d0129a9bb8c5953112b5f346baf8/6a0c9773/RACE_11.jpg',  'https://dl.airtable.com/.attachments/c2cfa0c947d5391e2943435c0e986f5f/fb417a38/RACE_9.jpg',  'https://dl.airtable.com/.attachments/54317ba8217fd5d5a0a84c727215a675/4de7b728/RACE_10.jpg',  'https://dl.airtable.com/.attachments/bd94a9209c5e00df71ff5b8bf77af73e/3d98823b/RACE_2.jpg',  'https://dl.airtable.com/.attachments/a6c59269265006ab78aa4d7bb16d828a/68d5de62/RACE_8.jpg',  'https://dl.airtable.com/.attachments/f633bceb20ef20cc7e1eb0858bec1154/86f7e804/RACE.jpg']
GRIFEX  (GEO-CAPE  ROIC  In-Flight  Performance  Experiment);CubeSat;3U;Operational  (Last  PA5OXW  report  2019-05-20  checked  on  2019-05-25);2015-01-31;40379;P-POD  (Poly-Picosatellite  Orbital  Deployer);Delta  II;University  of  Michigan;University;Academic  /  Education;US;Tyvak,  ?;Validate  technology  for  the  Panchromatic  Fourier  Transform  Spectrometer  (PanFTS).;['https://dl.airtable.com/GMk7FwxUS7uj8oI2jqqo_GRIFEX.jpg']
PSat  A  (PSat,  ParkinsonSat  A,  UltraSat1?,  NO-84);CubeSat;1.5U;Operational  (Last  KE8AKW  report  2019-05-15  checked  on  2019-05-25);2015-05-20;40654;P-POD  (Poly-Picosatellite  Orbital  Deployer);Atlas  V;US  Naval  Academy  Satellite  Lab;University;Academic  /  Education;US;Tyvak,  ?;Communications  transponder  for  IoT  demonstration.;['https://dl.airtable.com/s8zRGyMqQ5eidsBM0cWs_PSAT-photo-Y-408xr.jpg']
USS  Langley  (Unix  Space  Server);CubeSat;3U;No  signal  (Unable  to  find  successful  reports  after  statement  that  it  has  not  been  heard  from);2015-05-20;40652;P-POD  (Poly-Picosatellite  Orbital  Deployer);Atlas  V;US  Naval  Academy  Satellite  Lab;University;Academic  /  Education;US;Tyvak,  ?;Unix  server  in  space  and  transponder  experiments.;['https://dl.airtable.com/GfhsHFvMS6SMz9qv1CYh_Langley_USNA.jpg']
BisonSat  (Nwist  Q̓ʷiq̓ʷáy,  SKC);CubeSat;1U;Semi-operational,  no  commanding  possible.  (Last  DK3WN  report  2018-10-20).;2015-10-08;40968;P-POD  (Poly-Picosatellite  Orbital  Deployer);Atlas  V;Salish  Kootenai  College;University;Academic  /  Education;US;Tyvak,  ?;Educational  training  and  camera  to  study  various  hydrologic  processes.;['https://dl.airtable.com/tU3L31vRTEIPubfPtrun_bisonsat-cubesat-with-antenna-deployed.jpg']
Fox-1A  (AMSAT-OSCAR  85,  AO-85);CubeSat;1U;Operational  (Was  declared  end-of-mission  in  February  2020  and  was  silent  for  months,  but  latest  SatNOGS  report  with  data  2020-04-03);2015-10-08;40967;P-POD  (Poly-Picosatellite  Orbital  Deployer);Atlas  V;The  Radio  Amateur  Satellite  Corporation  (AMSAT);Non-profit;Government  (Civil  /  Military);US;Tyvak,  ?;Amateur  radio  mission  with  transponder.;['https://dl.airtable.com/oa91qrjR3eOuTsRtp8FA_Fox-1A.jpg']
LMRSTSat  (LMRSat  ,  LMRST-Sat,  Low  Mass  Radio  Science  Transponder  -  Satellite);CubeSat;2U;No  signal;2015-10-08;40971;P-POD  (Poly-Picosatellite  Orbital  Deployer);Atlas  V;Stanford  University;University;Academic  /  Education;US;Tyvak,  ?;Far-field  source  for  calibration  of  the  Deep  Space  Network  in  X-band.;['https://dl.airtable.com/O8zHzx4RhKoKoITbjuzX_LMRSTSat_27933251713_9ee1e9412d_o.jpg']
PrintSat;CubeSat;1U;Launch  failure;2015-11-04;Launch  failure;NLAS  (Nanosatellite  Launch  Adapter  System)  [NASA];Super  Strypi  (SPARK);Montana  State  University;University;Academic  /  Education;US;ORS  Office  (US  DoD);Demonstrate  inter-satellite  communications.;['https://dl.airtable.com/j4YR3zcoRtuFWS2p7KXm_Printsat_real.png',  'https://dl.airtable.com/aU64qugvQqAI9cMNq8ig_PrintSat.jpg']
SNAPS  (Stanford  Nano  Picture  Satellite);CubeSat;0.25U;On  ISS?  Was  it  even  launched  or  deployed?  Probably  not.  (No  public  news  found);2015-12-06;On  ISS?  Was  it  launched  or  deployed?;-;Atlas  V;Stanford  University;University;Academic  /  Education;US;NanoRacks;Image  other  CubeSats  autonomously  and  demonstrate  CubeSat  platform  technologies.;['https://dl.airtable.com/1hPgPmHTAOi327eG6Ocl_snaps__1.jpg']
Galassia;CubeSat;2U;Operational  (Smallsat  2018);2015-12-16;41170;ISIPOD  [ISISpace];PSLV;National  University  of  Singapore;University;Academic  /  Education;Singapore;ISILaunch,  ?;Educational  traiming  and  measure  total  electron  count  and  photon-entangling  payload.;['https://dl.airtable.com/7LMiPfADSkmWXWuCdqxh_Galassia.jpg']
HORYU-4  (AEGIS);Nanosatellite;10  kg;Operational?  (Last  SatNOGS  report  2019-05-25,  but  data  is  suspicious.  Checked  2019-05-25);2016-02-17;41340;Custom;H-IIA  (H2A);Kyushu  Institute  of  Technology;University;Academic  /  Education;Japan;JAXA,  ?;Test  experimental  high-voltage  solar  array  and  observing  corresponding  spacecraft  charging  effects  on  the  satellite.;['https://dl.airtable.com/1umqsn9WTRK7JPMyJy4S_horyu-4_real.jpg']
e-st@r-II  (e-star-ii);CubeSat;1U;Operational?  (Last  report  from  @supertrack_it  2019-04-25  shows  good  telemetry.  Last  DK3WN  report  2016-09-04.  SatNOGS  has  reports,  but  no  telemetry.);2016-04-25;41459;ISIPOD  [ISISpace];Sojuz;Polytechnic  University  of  Turin;University;Academic  /  Education;Italy;ISILaunch,  ?;Educational  training  and  demonstrate  ADCS  technologies.;['https://dl.airtable.com/.attachments/60ff1276ed1a3d5032dfcf5c89cdbfb7/aad14b0d/estarII_2.jpg',  'https://dl.airtable.com/RHilK8FrQDvWtOdXzUdL_estarII_3.jpg']
OUFTI-1;CubeSat;1U;Semi-operational?  Was  operational  until  2016-05-07,  12  days.  Stopped  transmitting  and  cloud  no  longer  continue.  (Last  SatNOGS  report  2019-05-03  with  data,  but  corrupt  and  only  empty  beacon?);2016-04-25;41458;ISIPOD  [ISISpace];Sojuz;University  of  Liège;University;Academic  /  Education;Belgium;ISILaunch,  ?;Test  the  use  of  the  D-STAR  communication  protocol  in  space. 
                                        ;['https://dl.airtable.com/cahWK8TRRNOUPEyYYQOh_OUFTI-1_mg_0316.jpg']
3CAT-2  (3CAT2);CubeSat;6U;Was  operational?  (Inactive  accordign  to  website.  Last  SatNOGS  report  2019-05-23,  but  never  any  data.  Checked  2019-05-25);2016-08-15;41732;ISIPOD  [ISISpace];Long  March  2D;Universitat  Politècnica  de  Catalunya;University;Academic  /  Education;Spain;ISILaunch;Perform  ocean  altimetry  by  means  of  Global  Navigation  Satellite  Systems  Reflectometry  (GNSS-R).  ;['https://dl.airtable.com/.attachments/12f4f28562a04e55246fe55f30917c3e/1bb480d2/3CAT2_1.jpg',  'https://dl.airtable.com/E4mvuc6uSrKQuBJhdCCO_3CAT2.jpeg']
CAS  2T  (Chinese  Amateur  Radio  Satellite  2T,  Fengtai-1,  CAS-2T);CubeSat;2U;Semi-operational.  Attached  to  the  upper  stage  on  purpose.  Lots  of  CW  telemetry  not  correct.;2016-11-09;41847;Unknown;Long  March  11;CAMSAT  (Chinese  Amateur  Satellite  Group);Non-profit;Government  (Civil  /  Military);China;Unknown;FM  transponder. 
                                        ;['https://dl.airtable.com/uhI53dCRTkyuAetLA3kn_cas2t_flight.jpg']
Lishui-1  (Lishui  1-01);CubeSat;3U;Operational?  (No  public  news  found);2016-11-09;41845;Unknown;Long  March  11;Zhejiang  Lizhui  Electronic  Technology  Co;Company;Commercial;China;Unknown;\- 
                                        ;[]
CELTEE  1;CubeSat;1U;Operational?  (No  public  news  found);2016-11-11;41850;P-POD  (Poly-Picosatellite  Orbital  Deployer);Atlas  V;Air  Force  Research  Laboratory  (AFRL);Military;Government  (Civil  /  Military);US;Tyvak;Evaluate  the  performance  of  M42  Techs  Enhanced  Location  Transponder  (ELT).  ;['https://dl.airtable.com/TBq4VahsRyaQGaKcjHC4_celtee-1__1.jpg']
XY  S1  (Xingyun  Shiyan  1,  Dong  Fang  Hong  166);CubeSat;2U;Operational?  (No  public  news  found);2017-01-09;41913;Unknown;Kuaizhou-1A;Northwestern  Polytechnical  University;University;Academic  /  Education;China;Unknown;Test  L-band  narrow-band  communications.  Demonstration  for  Xingyun  /  Hongyun  constellation. 
                                        ;['https://dl.airtable.com/Li730oc2QHuczHkCboxh_xy-s1__1.jpg']
Al-Farabi  1;CubeSat;2U;No  signal  (No  public  news  found);2017-02-15;42016;QuadPack  (XL)  [ISISpace];PSLV;Al-Farabi  Kazak  National  University;University;Academic  /  Education;Kazakhstan;ISILaunch;Demonstrate  CubeSat  platform  technologies  and  take  photos  of  Earth.;['https://dl.airtable.com/rpBW6OSySjCtMqsJd4Zb_Al-Farabi1.jpg',  'https://dl.airtable.com/.attachments/a4431bebee52094265cb8c59857c1afe/dd5c9f67/Al-Farabi1_2.jpg']
BGUSat  (NEGEVSAT);CubeSat;3U;Was  operational  until?  (First  photo  published  on  2017-05-08,  but  lack  of  regular  updates);2017-02-15;41999;QuadPack  (XL)  [ISISpace];PSLV;Ben  Gurion  University  Satellite;University;Academic  /  Education;Israel;Spaceflight;First  educational  satellite.  VGA  Camera,  ADCS. 
                                        ;['https://dl.airtable.com/B9d1tuUIQGygKdAojNfy_BGUSAT.jpg']
SUSat  (AU01);CubeSat;2U;Reentry  2019-03-21.  No  signal  (Official  website,  but  is  now  down.  Unable  to  find  contact  reports  also);2017-04-18;42730;NRCSD  (NanoRacks  CubeSat  Deployer)  [Quad-M];Atlas  V  (QB50);University  of  Adelaide;University;Academic  /  Education;Australia;NanoRacks;Part  of  QB50  to  study  lower  termosphere.;['https://dl.airtable.com/xPcFRVvRRu2tCwmueSQW_SUSat.jpg']
NUDTSat  (BE06,  CN06);CubeSat;2U;Operational  (Last  SatNOGS  report  with  data  2019-05-03  checked  on  2019-05-27);2017-06-23;42787;QuadPack  (XL)  [ISISpace];PSLV  (QB50);National  University  of  Defense  Technology;University;Academic  /  Education;China;ISILaunch;Part  of  QB50  to  study  lower  termosphere.;['https://dl.airtable.com/.attachments/1a4eab1028110d29e2c87a0e70a13c45/6e9a2a6c/NUDTSat.jpg']
ROBUSTA-1B;CubeSat;1U;Operational  (Last  SatNOGS  report  with  data  2019-05-25  checked  on  2019-05-25);2017-06-23;42792;QuadPack  (XL)  [ISISpace];PSLV;University  of  Montpellier  II;University;Academic  /  Education;France;ISILaunch;Measure  the  radiation  induced  degradation  of  electronic  devices. 
                                        ;['https://dl.airtable.com/vc9NABm1Tw2798xZZfwH_Robusta_prior_to_integration.jpg']
SUCHAI;CubeSat;1U;Was  operational  until  2018-09-23,  457  days.  (Public  news);2017-06-23;42788;QuadPack  (XL)  [ISISpace];PSLV;University  of  Chile;University;Academic  /  Education;Chile;ISILaunch;Educational  training  and  optical  camera  to  take  photos  of  the  Earth.;['https://dl.airtable.com/UUVcauLoQGa5LOw4enNj_suchai_satellite_2.jpg']
UCLSat  (GB03);CubeSat;2U;Was  operational  until  2017-09-XX?  (Last  DK3WN  report  2017-08-13.  Last  SatNOGS  report  with  data  20017-09-25.  There  are  later  reports,  but  unconfirmed.  Skyrocket  writes  that  it  apparently  did  not  work  so  it  could  have  been  semi-operational.  Checked  2019-05-27);2017-06-23;42765;QuadPack  (XL)  [ISISpace];PSLV  (QB50);University  College  London;University;Academic  /  Education;UK;ISILaunch;Part  of  QB50  to  study  lower  termosphere.;['https://dl.airtable.com/kQmQyhZrS1CHqHN2sIyU_UCLSat_400x300-for-web.jpg',  'https://dl.airtable.com/OBZuKk4lTNmA1s9TMgdg_UCLSat_24967050737_e04f63ecf6_o.jpg']
VZLUSAT-1  (CZ02);CubeSat;2U;Operational  (Official  news  on  2020-06-30);2017-06-23;42790;QuadPack  (XL)  [ISISpace];PSLV  (QB50);Aerospace  Research  and  Test  Establishment;Institute;Government  (Civil  /  Military);Czech;ISILaunch;Part  of  QB50  to  study  lower  termosphere.;['https://dl.airtable.com/CPz4WGNRzqwnvKoKaTNi_VZLUSAT-1.jpg',  'https://dl.airtable.com/DP9odeZOTtuDB6msSBfa_VZLUSAT-1druzice-png-1.png']
RadFxSat  (Fox-1B);CubeSat;1U;Operational  (Last  SatNOGS  report  2019-05-26  with  data  checked  on  2019-05-26  and  Smallsat  2019);2017-11-14;43017;P-POD  (Poly-Picosatellite  Orbital  Deployer);Delta  II;Vanderbilt  University  and  The  Radio  Amateur  Satellite  Corporation.;University;Academic  /  Education;US;Tyvak,  ?;Demonstrate  an  on-orbit  platform  for  radiation  qualification  of  components  for  space  flight.;['https://dl.airtable.com/jdIvFIIRhmtpQ5TauUkw_RadFxSat.jpg']
EagleSat  1;CubeSat;1U;No  signal  (Official  news  on  2018-05-14  and  tweets  about  lack  of  signals.  Reports  in  SatNOGS,  but  unlikely  to  be  correct  satellite.  Checked  on  2019-05-26);2017-11-18;43018;P-POD  (Poly-Picosatellite  Orbital  Deployer);Delta  II;Embry-Riddle  Aeronautical  University,  Prescott;University;Academic  /  Education;US;Tyvak,  ?;Test  new  memory  types  in  space  and  detect  Space  Fence.;['https://dl.airtable.com/jGBjXiymRDeY8ROEvLE4_eaglesat__1.jpg']
DemoSat  2;CubeSat;3U;Operational  (Public  news  on  2018-03-01);2018-01-12;43127;QuadPack  (XL)  [ISISpace];PSLV;Astranis;Company;Commercial;US;ISILaunch;Test  a  UHF  radio  payload  for  the  planned  microsatellite  geostationary  communication  satellites. 
                                        ;['https://dl.airtable.com/5OVUrqTrTg2Vnhu9dJ5u_DemoSat-2.png',  'https://dl.airtable.com/.attachments/1de2294b6d3444ecbe9a14b0c6db6a86/4faa2aa0/DemoSat-2.jpg']
KAUSAT-5;CubeSat;3U;No  signal  (No  reported  contacts  found  and  no  updates  on  official  social  media);2018-01-12;43135;QuadPack  (XL)  [ISISpace];PSLV;Korea  Aerospace  University;University;Academic  /  Education;South  Korea;ISILaunch;Map  Earth's  surface  in  infrared  and  demonstrate  CubeSat  platform  technologies.;['https://dl.airtable.com/FXyQujrlSpe2j1dhoPtn_KAUSAT-5.png',  'https://dl.airtable.com/.attachments/f16ae4af495834fe1b5ae992260ae101/91fe6965/KAUSAT-5_6.jpg',  'https://dl.airtable.com/.attachments/295ddf9cac9f2bfe36c827b809fcd60b/97d54b6a/KAUSAT-5_3.jpg',  'https://dl.airtable.com/.attachments/e700ec76f2c6632da6da7f86fd9c6c68/c62c31a8/KAUSAT-5_5.jpg',  'https://dl.airtable.com/.attachments/e1ebccd6ed4004d2f691397bf32339d7/75b894e3/KAUSAT-5_4.jpg',  'https://dl.airtable.com/.attachments/441ffa22b0c9ce64b906d02e56007189/cb9f9fb3/KAUSAT-5_7.jpg',  'https://dl.airtable.com/.attachments/283d288f8aace935ae2fd21872c64fa7/275b8373/KAUSAT-5_2.jpg']
PicSat;CubeSat;3U;Was  operational  until  2018-03-20  (Official  manuscript  from  2019-01-09);2018-01-12;43132;QuadPack  (XL)  [ISISpace];PSLV;Paris  Observatory;Institute;Government  (Civil  /  Military);France;ISILaunch;Observe  the  transit  of  the  planet  Beta  Pictoris.;['https://dl.airtable.com/.attachments/d6dd1566a8f9d683a23a25f03498f532/b9185d93/PicSat_3.jpg',  'https://dl.airtable.com/.attachments/33d7904631120557f58fb537db11e02c/4e9dbbfa/PicSat_2.jpg',  'https://dl.airtable.com/.attachments/6276eef3a7a79ed75e031dcf99c02e0b/f224bd7f/PicSat_4.jpg',  'https://dl.airtable.com/.attachments/6c0642f60709c07e711221bbb3c65da9/caa62536/PicSat_5.jpg',  'https://dl.airtable.com/963rtZg8QtWT2VqE96Ae_PicSat_37989212004_21a5753252_o.jpg']
SIGMA  (KHUSAT-3);CubeSat;3U;Was  semi-operational  until?  (Personal  contact);2018-01-12;43134;QuadPack  (XL)  [ISISpace];PSLV;Kyung  Hee  University;University;Academic  /  Education;South  Korea;ISILaunch;Measure  the  Linear  Energy  Transfer  (LET)  spectrum.;['https://dl.airtable.com/FUBOBPiSQyHEuL9kHMBg_FM_KHUSAT-03.png']
Luojia  1-01  (LJ  1-01);CubeSat;6U;Operational?  (Public  news  2018-07-10  and  publication  2019-1029.  Checked  on  2019-05-26);2018-06-02;43485;Unknown;Long  March  11;Wuhan  University;University;Academic  /  Education;China;Unknown;Night-light  Earth  observation  with  100  m  resolution  and  prototype  for  future  constellation.;[]
  CubeBel-1  (BSUSat-1,  CubeBel1);CubeSat;2U;Operational  (Last  DK3WN  report  2018-12-15);2018-10-29;43666  ;Unknown;Long  March;Belarus  State  University;University;Academic  /  Education;Belarus;Unknown;Educational  training  and  demonstration  of  attitude  control  plus  camera  and  radiation  spectrometer.;['https://dl.airtable.com/mp95NTfFS0yLB2sI04ZQ_BSUSat_1.png']
3CAT-1  (CubeCat-1);CubeSat;1U;Operational?  (Last  SatNOGS  report  2018-12-05);2018-11-29;43728;QuadPack  (XL)  [ISISpace];PSLV  (C43);Polytechnic  University  of  Catalonia  (UPC,  BarcelonaTECH);University;Academic  /  Education;Spain;ISILaunch;Find  out  how  plasma  conditions  at  space  affect  wireless  energy  transmission.;['https://dl.airtable.com/y618jF7SKmcXVUHXG06T_3cat1_sala_blanca.jpg']
InnoSat-2  (Innovative  Satellite  2);CubeSat;3U;Operational  (Last  W2RTV  report  2019-05-23);2018-11-29;43738;QuadPack  (XL)  [ISISpace];PSLV  (C43);Astronautic  Technology  (M)  Sdn.  Bhd.;Company;Commercial;Malaysia;ISILaunch;Dosimeter,  a  CMOS  camera  and  an  experimental  reaction  wheel. 
                                        ;['https://dl.airtable.com/vx2zBQQ9RiyEm8fwz3N1_innosat__1.jpg']
Al-Farabi-2  (Al–Farabi  2);CubeSat;3U;Operational  (Last  SatNOGS  report  2019-05-25  with  what  looks  to  be  a  decent  packet,  checked  on  2019-05-26);2018-12-03;43805;PSL  /  PSL-P  (Picosatellite  Launcher)  [Astrofein],?;Falcon  9  (Spaceflight  SSO-A,  SHERPA);Al-Farabi  Kazak  National  University;University;Academic  /  Education;Kazakhstan;ISILaunch;\- 
                                        ;['https://dl.airtable.com/YweYd6Q9T0GWBXouAgLB_JY1SAT.png']
ExseedSat-1  (Exseed  Sat-1,  Vusat-OSCAR-96  );CubeSat;3U;Operational?  (Social  media  news  from  2018-12-04  and  last  SatNOGS  report  from  2019-05-22,  but  no  telemetry  and  ID  has  not  been  determined  for  some  reason!?  Checked  on  2019-05-26);2018-12-03;43775?;QuadPack  (XL)  [ISISpace],?;Falcon  9  (Spaceflight  SSO-A,  SHERPA);Exseed  Space;Company;Commercial;India;Spaceflight;Demonstrate  CubeSat  platform  and  amateur  radio  communications.;['https://dl.airtable.com/F4sorZMLSaDSjsnu4B3w_ExseedSat_2.jpg',  'https://dl.airtable.com/K6VzAqbRk66WfdwyBhGn_ExseedSat-1.jpeg',  'https://dl.airtable.com/pX7i5lnRoKJhTv1TZLoD_ExseedSat.jpg']
JY1-SAT  (JY1SAT);CubeSat;1U;Operational  (Last  JA6PL  report  2019-05-25  checked  on  2019-05-26);2018-12-03;43803;QuadPack  (XL)  [ISISpace];Falcon  9  (Spaceflight  SSO-A,  SHERPA);Crown  Prince  Foundation;University;Academic  /  Education;Jordan;ISILaunch;SSTV  transmitter  for  radio  amateurs  and  educational  training.;['https://dl.airtable.com/1zUIlgqDSbCK3w48IqTj_jy1-sat-cubesat.jpg']
KazSciSat-1;CubeSat;3U;No  signal?  (Unable  to  find  contact  reports);2018-12-03;43787;QuadPack  (XL)  [ISISpace],?;Falcon  9  (Spaceflight  SSO-A,  SHERPA);Ghalam  LLP;Company;Commercial;Kazakhstan;Spaceflight;\- 
                                        ;['https://dl.airtable.com/7KaEf30ARbCvpxURPBX3_kazscisat-1__1.jpg']
KNACKSAT  (KMUTNB  Academic  Challenge  of  Knowledge  SATellite);CubeSat;1U;Was  semi-operational  until  2018-12-07.  (Maybe  weak  packet  visually  seen  on  2019-02-22.  Official  Twitter.  Checked  on  2019-05-26);2018-12-03;43806?;QuadPack  (XL)  [ISISpace],?;Falcon  9  (Spaceflight  SSO-A,  SHERPA);King  Mongkut  University  of  Technology;University;Academic  /  Education;Thailand;Spaceflight;Demonstrate  CubeSat  platform  technologies  plus  camera  to  take  photos  of  Earth.;['https://dl.airtable.com/tpIkWL9vQJSwdCTl11bT_KnackSat1.png']
Orbital  Reflector  (ORS-1);CubeSat;3U;Was  operational  until  2019-01-23  (Official  press  release  says  it  fell  silent  during  government  shutdown  while  waiting  for  permission  to  deploy  balloon);2018-12-03;43771?;QuadPack  (XL)  [ISISpace],?;Falcon  9  (Spaceflight  SSO-A,  SHERPA);Nevada  Museum  of  Art;Non-profit;Government  (Civil  /  Military);US;Spaceflight;Deploy  large  reflective  sculpture. 
                                        ;['https://dl.airtable.com/6xNnLnvWRDWM8BoURfMO_Orbital-Reflector.png',  'https://dl.airtable.com/.attachments/fd27bb89d1b134aecfe0b165f3d5d855/ad6f020b/Orbital-Reflector.jpg']
Snuglite  (SNULITE);CubeSat;2U;Operational  (Last  DK3WN  report  201--03-10  and  SatNOGS  reports);2018-12-03;43784;QuadPack  (XL)  [ISISpace];Falcon  9  (Spaceflight  SSO-A,  SHERPA);Seoul  National  University;University;Academic  /  Education;South  Korea;ISILaunch;Amateur  radio  communication  and  demonstrate  in-house  GPS  receiver.;['https://dl.airtable.com/CpfC7EfoSeq3VFUJX7xZ_Snuglite.jpg']
SNUSat-2;CubeSat;3U;Operational  (Last  SatNOGS  report  2019-05-02);2018-12-03;43782;QuadPack  (XL)  [ISISpace];Falcon  9  (Spaceflight  SSO-A,  SHERPA);Seoul  National  University;University;Academic  /  Education;South  Korea;ISILaunch;Early-stage  disaster  monitoring  and  demonstrate  in-house  technologies.;['https://dl.airtable.com/.attachments/f465ba904116a1855f0d75e379c2c664/7da39be0/SNUSAT-2.png']
Suomi  100  (Finland100);CubeSat;1U;Operational  (Social  media  news  on  2019-04-12.  checked  on  2019-05-26);2018-12-03;43804;QuadPack  (XL)  [ISISpace];Falcon  9  (Spaceflight  SSO-A,  SHERPA);Aalto  University;University;Academic  /  Education;Finland;ISILaunch;Celebrate  Finland's  100th  independence  with  camera  and  low-frequency  receiver  to  detect  auroras.;['https://dl.airtable.com/K4v2dQ0xRGKst5XsHqvt_JY1SAT.png']
VisionCube;CubeSat;2U;No  signal  (No  confirmed  reports  on  Twitter  and  SatNOGS.  There  seem  to  be  2  objects  too  many  from  this  launch  and  maybe  this  was  not  onboard  at  all  due  to  the  complete  lack  of  news  while  others  are  accounted  for?);2018-12-03;43822?;QuadPack  (XL)  [ISISpace];Falcon  9  (Spaceflight  SSO-A,  SHERPA);Korea  Aerospace  University;University;Academic  /  Education;South  Korea;ISILaunch;Obtain  images  of  Transient  Luminous  Events  in  the  upper  atmosphere.;['https://dl.airtable.com/.attachments/520a119ff2c4757a1e214784e616bc5d/962d26d8/VisionCube.png']
CeREs  (Compact  Radiation  Belt  Explorer);CubeSat;3U;Was  semi-operational  until  2018-12-XX?  (Indirect  tweet  from  Jonathan  McDowell 
                                                on  2019-03-04  and  official  presentation  at  Planetary  CubeSats  Symposum);2018-12-16;43853?;RailPOD  [Tyvak];Electron;NASA  Goddard  Space  Flight  Center;Space  agency;Government  (Civil  /  Military);US;TriSept;Study  primary  radiation  belt  energization,  as  well  as  loss  electron  spectra  and  microbursts.;['https://dl.airtable.com/fEJNG2mtQTyOEqosrxWT_CERES.png',  'https://dl.airtable.com/OffTdWRYQIehGbPlGY1h_CeREs2.jpg',  'https://dl.airtable.com/xkwuxmk5TjuCJQnHhlDb_CeRes.jpg',  'https://dl.airtable.com/.attachments/081a9d87e767e6a4f3ab8aec47cf9acb/01cdb7ff/CeREs_3.png']
