Name;Type;Units  or  mass;Status;Launched;NORAD  ID;Deployer;Launcher;Organisation;Institution;Entity;Nation;Manufacturer;Operator;Launch  brokerer;Costs;Oneliner;Failure  cause;Keywords;Images
CanX-1;CubeSat;1U;No  signal;2003-03-30;27847;P-POD  (Poly-Picosatellite  Orbital  Deployer);Rokot;Space  Flight  Laboratory;Institute;Government  (Civil  /  Military);Canada;?;?;Space  Flight  Laboratory  (UTIAS-SFL);?;Demonstrate  novel  technologies  for  ADCS.;?;?;['https://dl.airtable.com/KidcFkpzR0eOdDsTIsuQ_CanX-1.png']
CUTE-I  (Cubical  Tokyo  Tech  Engineering  Satellite-I);CubeSat;1U;Operational  (Last  SatNOGS  report  2019-05-23  checked  on  2019-05-24);2003-03-30;27844;P-POD  (Poly-Picosatellite  Orbital  Deployer);Rokot;Tokyo  Institute  of  Technology;University;Academic  /  Education;Japan;?;?;Space  Flight  Laboratory  (UTIAS-SFL);?;Communication  and  solar  panel  deployment.;?;?;['https://dl.airtable.com/w4peMNmRfGPf8Wg3JYtO_CUTE-I_FM_0530.jpg']
DTUSat-1;CubeSat;1U;No  signal;2003-03-30;27842;P-POD  (Poly-Picosatellite  Orbital  Deployer);Rokot;Technical  University  of  Denmark;University;Academic  /  Education;Denmark;?;?;Space  Flight  Laboratory  (UTIAS-SFL);?;Tether  deployment  to  test  deorbiting  method.;?;Tether,  De-orbit  device;['https://dl.airtable.com/aDyTpO05TEe3bb8k5Ldu_DTUSat.png']
QuakeSat;CubeSat;3U;Was  operational  until  2004-12-XX.;2003-03-30;27845;P-POD  (Poly-Picosatellite  Orbital  Deployer);Rokot;Stanford  University;University;Academic  /  Education;US;?;?;Space  Flight  Laboratory  (UTIAS-SFL);?;Detecting  earthquake  ELF  emission  data.  First  3U  CubeSat.;?;Earthquake  ELF  prediction;['https://dl.airtable.com/Dwsm0LfcRaKFplfaQ0AB_Quakesat.jpg']
XI-IV;CubeSat;1U;Operational  (Last  SatNOGS  report  2019-05-23  checked  on  2019-05-24);2003-03-30;27848;T-POD  (Tokyo-Picosatellite  Orbital  Deployer);Rokot;University  of  Tokyo;University;Academic  /  Education;Japan;?;?;?;?;Demonstrate  CubeSat  platform  technologies  and  COTS  camera.;?;?;['https://dl.airtable.com/aqSGMdqlRLSG7GeKBgo7_XI-IV.jpg']
UNOSAT  1  (Undergraduate  Orbital  Student  Satellite);Nanosatellite;8.83  kg;Launch  failure;2003-08-22;Launch  failure;Unknown;VLS-1;Universidade  Norte  do  Paraná;University;Academic  /  Education;Brazil;?;?;?;?;Simple  beacon  transmitter  of  telemetry  packets.;?;?;['https://dl.airtable.com/Ezr7Zhb6Qri6eFJsz2pj_unosat__1%20(1).jpg']
TNS-0  (TEKh-42,  Technologicesky  Nanosputnik);Nanosatellite;4.5  kg;Reentry  2005-08-30.  Was  operational  until  2005-07-15.;2005-02-28;28547;Hand  deployed;Sojuz-U;Moscow  Russian  Scientific  Research  Institute;Institute;Government  (Civil  /  Military);Russia;?;?;?;?;Testing  Globalstar  constellation  to  operate  satellite.;Batteries  were  empty  and  burnt  in  atmosphere  couple  of  months  later.;Globalstar  or  Iridium  or  Inmarsat;['https://dl.airtable.com/bdNi7fqSBe298G881BtR_TNS0_Auto.png']
nCube-2;CubeSat;1U;Deployment  failure  from  SSETI  Express.;2005-10-27;28897;T-POD  (Tokyo-Picosatellite  Orbital  Deployer);Kosmos-3M;Norwegian  University  of  Technology  and  Science  (NTNU);University;Academic  /  Education;Norway;?;?;Space  Flight  Laboratory  (UTIAS-SFL);?;Educational  space  systems  engineering  and  AIS  receiver.;?;AIS;['https://dl.airtable.com/XAeDgPtgRQ6Xt7frMTgM_Ncube2.jpg']
UWE-1;CubeSat;1U;Was  operational  until  2006-06-XX  or  2006-01-XX  (Conflicting  reports  from  eoPortal);2005-10-27;28892;T-POD  (Tokyo-Picosatellite  Orbital  Deployer);Kosmos-3M;University  of  Würzburg;University;Academic  /  Education;Germany;?;?;Space  Flight  Laboratory  (UTIAS-SFL);?;Demonstrate  CubeSat  platform  technologies  and  solar  cells.;?;?;['https://dl.airtable.com/gfvOPjATiyTklqRfvwdA_UWE-1_cubesat_that_will_be_one_of_the_payloads_on_the_SSETI_Express.jpe']
XI-V  (Cubesat-OSCAR-58,  Cubesat  XI-V);CubeSat;1U;Was  operational  until  2016-05-17?  (Last  Randall  CE2WGD  report  2016-04-01  on  Twitter,  checked  on  2019-05-24);2005-10-27;28895;T-POD  (Tokyo-Picosatellite  Orbital  Deployer);Kosmos-3M;University  of  Tokyo;University;Academic  /  Education;Japan;?;?;Space  Flight  Laboratory  (UTIAS-SFL);?;Demonstrate  CubeSat  platform  technologies  and  COTS  camera.;?;?;['https://dl.airtable.com/1QR8zae0TiWE3VJjfHAK_XI-IV.jpg',  'https://dl.airtable.com/.attachments/6d2f051bded3059597145e5ab1425023/f2c4bd70/XI-V_Space.png']
CUTE-1.7+APD;CubeSat;2U;Reentry  2009-10-25.  Was  operational  until  2006-03-16.  Semi-operational  until  2006-05-06  with  beacons.;2006-02-21;28941;CSS,  TSD  (CUTE  Separation  System,  TITech  Separation  System);M-V  (M-5);Tokyo  Institute  of  Technology;University;Academic  /  Education;Japan;?;?;JAXA,  ?;?;Demonstration  of  PDA  (Personal  Digital  Assistant)  as  an  onboard  computer  and  other  experiments.;Most  likely  radiation  damage,  stopped  receiving  commands,  beacon  functioned  longer,;Tether;['https://dl.airtable.com/ci8J36tSRy1xn7cU8UqQ_cute17_fm_1.jpg']
AeroCube-1;CubeSat;1U;Launch  failure;2006-07-26;Launch  failure;P-POD  (Poly-Picosatellite  Orbital  Deployer);Dnepr;The  Aerospace  Corporation;Non-profit;Government  (Civil  /  Military);US;?;?;Cal  Poly;?;Demonstrate  CubeSat  platform  technologies  and  CMOS  camera.;?;?;['https://dl.airtable.com/pHl5Is9RMONDCMJLEZJ7_AeroCube-1.png']
CP1;CubeSat;1U;Launch  failure;2006-07-26;Launch  failure;P-POD  (Poly-Picosatellite  Orbital  Deployer);Dnepr;California  Polytechnic  University;University;Academic  /  Education;US;?;?;Cal  Poly;?;Demonstrate  CubeSat  platform  technologies  with  focus  on  sun  sensor  and  magnetorquers.;?;?;['https://dl.airtable.com/cN4gISklQxeaaE9jVDHI_CP1.png']
CP2;CubeSat;1U;Launch  failure;2006-07-26;Launch  failure;P-POD  (Poly-Picosatellite  Orbital  Deployer);Dnepr;California  Polytechnic  University;University;Academic  /  Education;US;?;?;Cal  Poly;?;Demonstrate  CubeSat  platform  technologies  and  energy  dissipation  experiment.;?;?;['https://dl.airtable.com/rds0yLlhSEuPGiAobwww_CP2.png']
HAUSat-1  (Hannuri-1,  Hankuk  Aviation  University  SATellite-1);CubeSat;1U;Launch  failure;2006-07-26;Launch  failure;P-POD  (Poly-Picosatellite  Orbital  Deployer);Dnepr;Korea  Aerospace  University  (Hankuk  Aviation  University);University;Academic  /  Education;South  Korea;?;?;Cal  Poly;?;Demonstrate  CubeSat  platform  technologies  with  focus  on  ADCS.;?;?;['https://dl.airtable.com/fpn1QeUxSp6BqAiGgEQT_hausat-1__1.jpg']
ICECube;CubeSat;1U;?;?;?;?;?;Cornell  University;University;Academic  /  Education;US;?;?;Cal  Poly;?;Educational  space  systems  engineering  and  GPS  scintillation  experiment.;?;?;['https://dl.airtable.com/9KsXxoSNTkuffJUnyq3J_icecube-1__1.jpg']
ICECube;CubeSat;1U;?;?;?;?;?;Cornell  University;University;Academic  /  Education;US;?;?;Cal  Poly;?;Educational  space  systems  engineering  and  GPS  scintillation  experiment.;?;?;['https://dl.airtable.com/9KsXxoSNTkuffJUnyq3J_icecube-1__1.jpg']
ION;CubeSat;2U;Launch  failure;2006-07-26;Launch  failure;P-POD  (Poly-Picosatellite  Orbital  Deployer);Dnepr;University  of  Illinois;University;Academic  /  Education;US;?;?;Cal  Poly;?;Measuring  oxygen  airglow  emissions  and  testing  thruster  module.;?;Propulsion;['https://dl.airtable.com/oIkJMxyNQXCTGjGdYACA_ion_Satellite.gif']
KUTESat;CubeSat;1U;Launch  failure;2006-07-26;Launch  failure;P-POD  (Poly-Picosatellite  Orbital  Deployer);Dnepr;University  of  Kansas;University;Academic  /  Education;US;?;?;Cal  Poly;?;Educational  space  systems  engineering  and  taking  photos.;?;?;['https://dl.airtable.com/H0ZwzcZ3TWiovbYxs58g_KUTESat.png']
Mea  Huaka  (Voyager);CubeSat;1U;Launch  failure;2006-07-26;Launch  failure;P-POD  (Poly-Picosatellite  Orbital  Deployer);Dnepr;University  of  Hawaii;University;Academic  /  Education;US;?;?;Cal  Poly;?;Demonstrate  CubeSat  bus  and  test  active  antenna  for  high  speed  communication.;?;?;['https://dl.airtable.com/wbngvtXRSnipQfaTyfrz_Mea%20Huaka.png']
MEROPE  (Montana  Earth-Orbiting  Pico-Explorer);CubeSat;1U;Launch  failure;2006-07-26;Launch  failure;P-POD  (Poly-Picosatellite  Orbital  Deployer);Dnepr;Montana  State  University;University;Academic  /  Education;US;?;?;Cal  Poly;?;Measure  the  radiation  of  the  Van  Allen  radiation  belts.;?;?;['https://dl.airtable.com/rYWN8BmTGmbwbMKAHzPc_merope__1.jpg']
nCube-1;CubeSat;1U;Launch  failure;2006-07-26;Launch  failure;P-POD  (Poly-Picosatellite  Orbital  Deployer);Dnepr;Norwegian  University  of  Technology  and  Science  (NTNU);University;Academic  /  Education;Norway;?;?;Cal  Poly;?;Educational  space  systems  engineering  and  AIS  receiver.;?;AIS;['https://dl.airtable.com/kZ4mHYKfRHKWIKd8Ej2I_Ncube_2.jpg']
